record_timestamp,CHR-01-KW,CHR-01-CHWSWT,CHR-01-CHWRWT,CHR-01-CHWFWR,CHR-02-KW,CHR-02-CHWSWT,CHR-02-CHWRWT,CHR-02-CHWFWR,CHR-03-KW,CHR-03-CHWSWT,CHR-03-CHWRWT,CHR-03-CHWFWR,CHR-04-KW,CHR-04-CHWSWT,CHR-04-CHWRWT,CHR-04-CHWFWR
1/5/2024 0:00,0,15.8441,15.5221,0,0,14.2295,16.212,0,0,19.3658,21.5577,0,0,15.4215,16.6021,1.98623
1/5/2024 0:15,0,15.8766,15.5762,0,0,14.2837,16.1837,0,0,19.3874,21.5577,0,0,15.4648,16.613,1.98623
1/5/2024 0:30,0,15.9416,15.6304,0,0,14.3379,16.3681,0,0,19.3874,21.5577,0,0,15.5298,16.678,1.98623
1/5/2024 0:45,0,15.9958,15.6629,0,0,14.4245,16.3539,0,0,19.3874,21.5686,0,0,15.6165,16.743,1.98623
1/5/2024 1:00,0,16.0499,15.7063,0,0,14.5004,16.3964,0,0,19.3874,21.5794,0,0,15.6815,16.7972,1.98623
1/5/2024 1:15,0,16.0716,15.7388,0,0,14.5437,16.4532,0,0,19.4091,21.5902,0,0,15.7574,16.8622,1.98623
1/5/2024 1:30,0,16.1475,15.8146,0,0,14.6196,16.7227,0,0,19.4199,21.6119,0,0,15.8224,16.9272,1.98623
1/5/2024 1:45,0,16.2558,15.9122,0,0,14.7063,16.7936,0,0,19.4199,21.6227,0,0,15.8982,17.0139,1.98623
1/5/2024 2:00,0,16.3425,16.0205,0,0,14.793,16.907,0,0,19.4199,21.6336,0,0,15.9849,17.0789,1.98623
1/5/2024 2:15,0,16.3967,16.0422,0,0,14.858,16.907,0,0,19.4416,21.6444,0,0,16.0716,17.1981,1.98623
1/5/2024 2:30,0,16.5159,16.1072,0,0,14.9447,17.4035,0,0,19.4416,21.6119,0,0,16.3967,17.5232,1.98623
1/5/2024 2:45,0,16.5051,16.1506,0,0,14.9772,17.0914,0,0,19.4524,21.5902,0,0,16.2558,17.3498,1.98623
1/5/2024 3:00,0,16.5809,16.2047,0,0,15.0422,17.134,0,0,19.4416,21.5577,0,0,16.2883,17.3607,1.98623
1/5/2024 3:15,0,16.5917,16.2372,0,0,15.0747,17.1056,0,0,19.4199,21.5577,0,0,16.31,17.4148,1.98623
1/5/2024 3:30,0,16.6351,16.2806,0,0,15.1289,17.2191,0,0,19.4416,21.5577,0,0,16.3642,17.4474,1.98623
1/5/2024 3:45,0,16.6351,16.3023,0,0,15.1614,17.2049,0,0,19.4524,21.5686,0,0,16.4184,17.5124,1.98623
1/5/2024 4:00,0,16.7001,16.3564,0,0,15.2047,17.3326,0,0,19.4199,21.5577,0,0,16.4834,17.5666,1.98623
1/5/2024 4:15,0,16.7651,16.3998,0,0,15.2698,17.3326,0,0,19.4199,21.5469,0,0,16.5159,17.6207,1.98623
1/5/2024 4:30,0,16.8085,16.4648,0,0,15.3239,17.4744,0,0,19.4199,21.5469,0,0,16.5809,17.6532,1.98623
1/5/2024 4:45,0,16.841,16.519,0,0,15.3564,17.517,0,0,19.4199,21.5469,0,0,16.6243,17.6966,1.98623
1/5/2024 5:00,0,16.8843,16.5298,0,0,15.4106,17.6021,0,0,19.4199,21.5252,0,0,16.7434,17.8375,1.98623
1/5/2024 5:15,0,16.971,16.5948,0,0,15.5081,17.9425,0,0,19.3658,21.4277,0,0,17.1227,18.1517,1.98623
1/5/2024 5:30,0,16.8843,16.5623,0,0,15.4973,17.517,0,0,19.3441,21.4169,0,0,16.8735,17.9241,1.98811
1/5/2024 5:45,0,16.8952,16.584,0,0,15.519,17.5311,0,0,19.3766,21.4385,0,0,16.841,17.9025,1.98811
1/5/2024 6:00,0,16.9277,16.6165,0,0,15.5515,17.5453,0,0,19.3549,21.4277,0,0,16.8735,17.9458,1.98623
1/5/2024 6:15,0,16.9277,16.6165,0,0,15.5732,17.5028,0,0,19.3441,21.406,0,0,16.8735,17.9566,1.98623
1/5/2024 6:30,0,16.9385,16.649,0,0,15.584,17.5311,0,0,19.3658,21.406,0,0,16.8952,17.9892,1.98623
1/5/2024 6:45,0,16.971,16.6815,0,0,15.6165,17.5453,0,0,19.3441,21.3843,0,0,16.9277,18.0108,1.98623
1/5/2024 7:00,0,16.9818,16.6815,0,0,15.649,17.5879,0,0,19.3224,21.3627,0,0,16.9493,18.0325,1.98623
1/5/2024 7:15,0,17.0252,16.7357,0,0,15.6815,17.6446,0,0,19.3333,21.3518,0,0,16.9818,18.0758,1.98623
1/5/2024 7:30,0,17.0469,16.7574,0,0,15.7032,17.6446,0,0,19.3441,21.3518,0,0,17.0143,18.1192,1.98623
1/5/2024 7:45,0,17.0902,16.8007,0,0,15.7357,17.6588,0,0,19.3333,21.341,0,0,17.0577,18.1734,1.98623
1/5/2024 8:00,0,17.1119,16.8224,0,0,15.7682,17.673,0,0,19.3441,21.341,0,0,17.0902,18.1842,1.98623
1/5/2024 8:15,0,17.1986,16.8982,0,0,15.7899,17.7439,0,0,19.3116,21.3193,0,16.9131,12.2899,17.8375,8.22298
1/5/2024 8:30,0,17.2419,16.9633,0,0,15.8441,17.829,0,0,19.3116,21.3085,0,47.3581,11.4446,16.9164,8.31861
1/5/2024 8:45,0,17.2744,16.9958,0,0,15.8874,17.8716,0,0,19.3116,21.2868,0,46.4683,10.7728,16.0929,8.34955
1/5/2024 9:00,0,17.2852,17.0174,0,0,15.9307,17.8716,0,0,19.3007,21.2868,0,45.9597,10.0576,15.2151,8.42924
1/5/2024 9:15,0,17.3069,17.0499,0,0,15.9633,17.9283,0,0,19.3224,21.2977,0,30.0657,13.2001,14.565,8.31111
1/5/2024 9:30,0,17.3394,17.0716,0,0,15.9958,17.9708,0,0,19.3224,21.2868,0,0,13.4818,14.8792,8.25767
