record_timestamp,CHR-01-KW,CHR-01-CHWSWT,CHR-01-CHWRWT,CHR-01-CHWFWR,CHR-02-KW,CHR-02-CHWSWT,CHR-02-CHWRWT,CHR-02-CHWFWR,CHR-03-KW,CHR-03-CHWSWT,CHR-03-CHWRWT,CHR-03-CHWFWR,CHR-04-KW,CHR-04-CHWSWT,CHR-04-CHWRWT,CHR-04-CHWFWR,CHR-05-KW,CHR-05-CHWSWT,CHR-05-CHWRWT,CHR-05-CHWFWR,CHR-06-KW,CHR-06-CHWSWT,CHR-06-CHWRWT,CHR-06-CHWFWR
1/5/2024 0:00,0,12.7007,10.2422,0,0,10.8601,10.5023,0,3,9.72219,10.6039,0,0,15.3235,12.7807,0,0,12.9207,10.6805,0,153.858,7.03982,9.86002,76.9861
1/5/2024 0:15,0,12.7807,10.3022,0,0,10.9201,10.4823,0,0,9.64219,10.3439,0,0,15.3235,12.6807,0,0,12.8007,10.7605,0,129.957,7.13983,9.78001,64.816
1/5/2024 0:30,0,12.9407,10.3822,0,0,11.0201,10.5823,0,0,9.48217,10.3039,0,0,15.3035,12.7207,0,0,12.6807,10.7205,0,125.744,7.07982,9.68,63.8438
1/5/2024 0:45,0,13.1208,10.4222,0,0,11.0401,10.5823,0,0,9.58218,10.4439,0,0,15.3435,12.7607,0,0,12.6007,10.7605,0,131.036,6.99982,9.80001,64.1216
1/5/2024 1:00,0,13.2408,10.4622,0,0,11.0801,10.5823,0,0,9.62218,10.3839,0,0,15.2835,12.7407,0,0,12.4807,10.8205,0,129.218,7.01982,9.82002,64.7292
1/5/2024 1:15,0,13.3408,10.5222,0,0,11.1601,10.6423,0,0,9.7822,10.6439,0,0,15.3835,12.7407,0,0,12.3407,10.8005,0,160.118,6.8598,9.98003,74.8334
1/5/2024 1:30,3,13.5608,10.5222,0,0,11.1801,10.7423,0,0,9.58218,10.3839,0,0,15.2635,12.6807,0,0,12.1807,10.7605,0,148.156,7.03982,9.80001,76.8646
1/5/2024 1:45,0,13.6208,10.6222,0,0,11.2601,10.7823,0,0,9.58218,10.4639,0,0,15.3435,12.6407,0,0,12.0606,10.7405,0,150.017,7.13983,9.94003,74.9549
1/5/2024 2:00,0,13.7208,10.6623,0,0,11.3001,10.7823,0,0,9.56218,10.2639,0,0,15.4635,12.8007,0,0,12.0006,10.6805,0,143.939,6.99982,9.70001,73.3577
1/5/2024 2:15,0,13.8608,10.7023,0,0,11.3401,10.8223,0,0,9.62218,10.4439,0,0,15.4435,12.8007,0,0,11.8806,10.6405,0,151.714,7.09982,10.02,75.1632
