record_timestamp,building_id,Total_Cooling_Load_kW,outdoor_temp,outdoor_humidity,Total_Power_Consumption_kW
2024-01-01 00:00:00,A,0.0,17.626501,90.92714,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.5265,89.76638,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.1765,90.02823,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.876501,89.42992,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.5265,89.691345,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.376501,87.95956,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.0765,88.504715,63.015775125000005
2024-01-01 00:00:00,A,0.0,15.7765,88.76707,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.376501,83.78482,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.126501,71.897026,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.726501,68.12101,63.015775125000005
2024-01-01 00:00:00,A,0.0,20.0765,61.617027,63.015775125000005
2024-01-01 00:00:00,A,0.0,20.4265,60.29872,63.015775125000005
2024-01-01 00:00:00,A,0.0,20.626501,61.94531,63.015775125000005
2024-01-01 00:00:00,A,0.0,20.9265,62.418922,63.015775125000005
2024-01-01 00:00:00,A,0.0,20.876501,63.225143,63.015775125000005
2024-01-01 00:00:00,A,0.0,20.3265,67.56202,63.015775125000005
2024-01-01 00:00:00,A,0.0,19.5265,73.326675,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.726501,80.88533,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.4265,84.827835,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.626501,85.93848,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.9265,88.37557,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.8265,90.94042,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.9265,92.110916,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.9265,93.2878,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.976501,93.88348,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.9265,93.58408,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.5765,95.065025,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.0265,96.26278,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.6765,95.33562,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.2765,93.50475,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.0765,91.410995,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.1765,84.69283,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.8265,83.26171,63.015775125000005
2024-01-01 00:00:00,A,0.0,20.0265,74.60189,63.015775125000005
2024-01-01 00:00:00,A,0.0,21.7765,66.77658,63.015775125000005
2024-01-01 00:00:00,A,0.0,23.226501,61.935234,63.015775125000005
2024-01-01 00:00:00,A,0.0,23.6765,59.31803,63.015775125000005
2024-01-01 00:00:00,A,0.0,23.2765,59.22345,63.015775125000005
2024-01-01 00:00:00,A,0.0,23.1765,62.521805,63.015775125000005
2024-01-01 00:00:00,A,0.0,22.226501,67.51331,63.015775125000005
2024-01-01 00:00:00,A,0.0,21.1765,71.75832,63.015775125000005
2024-01-01 00:00:00,A,0.0,19.8265,78.48857,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.726501,85.94844,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.726501,87.04917,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.626501,95.703926,63.015775125000005
2024-01-01 00:00:00,A,0.0,18.3265,96.299225,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.1765,97.497505,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.6765,97.177925,63.015775125000005
2024-01-01 00:00:00,A,0.0,17.4265,91.78853,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.9265,88.57556,63.015775125000005
2024-01-01 00:00:00,A,0.0,16.3265,88.81206,63.015775125000005
2024-01-01 00:00:00,A,0.0,15.7265,91.09363,63.015775125000005
2024-01-01 00:00:00,A,0.0,15.176499,90.76191,63.015775125000005
2024-01-01 00:00:00,A,0.0,14.8765,87.54072,63.015775125000005
2024-01-01 00:00:00,A,0.0,14.6265,84.9694,63.015775125000005
