record_timestamp,CHR-01-KW,CHR-01-CHWSWT,CHR-01-CHWRWT,CHR-01-CHWFWR,CHR-02-KW,CHR-02-CHWSWT,CHR-02-CHWRWT,CHR-02-CHWFWR,CHR-03-KW,CHR-03-CHWSWT,CHR-03-CHWRWT,CHR-03-CHWFWR
1/1/2023 0:00,0,12.2,11.8,0,8.8773,7.1,8.4,7.20833,0,11.1,12.5,0
1/1/2023 0:15,0,12.2,11.7,0,0,8.8,9,0,0,11.1,12.3,0
1/1/2023 0:30,0,12.2,11.7,0,0,9,9.2,0,20.3906,8.4,11.2,7.38056
1/1/2023 0:45,0,12.2,11.7,0,0,9.2,9.2,0,5.89547,7.4,8.2,7.06389
1/1/2023 1:00,0,12.1,11.6,0,0,9.2,9.3,0,7.84033,7.5,8.7,7.05833
1/1/2023 1:15,0,12.1,11.6,0,0,9.3,9.3,0,7.82605,7.6,8.7,7.04167
1/1/2023 1:30,0,11.9,11.6,0,0,9.4,9.3,0,8.64822,7.6,8.7,7.05278
1/1/2023 1:45,0,11.9,11.6,0,0,9.5,9.3,0,5.80993,6.6,7.8,7.04167
1/1/2023 2:00,0,11.9,11.6,0,0,9.5,9.3,0,7.36357,6.6,8.2,7.03611
1/1/2023 2:15,0,11.9,11.6,0,0,9.6,9.4,0,8.52377,7.2,8.4,7.04167
1/1/2023 2:30,0,11.9,11.6,0,0,9.7,9.4,0,6.06592,6.6,7.7,7.35
1/1/2023 2:45,0,11.9,11.6,0,0,9.7,9.4,0,6.39306,6.6,8,7.03611
1/1/2023 3:00,0,11.9,11.6,0,0,9.7,9.5,0,7.81069,6.8,8.3,7.03056
1/1/2023 3:15,0,11.8,11.5,0,0,9.7,9.5,0,6.79161,6.7,7.9,7.35556
1/1/2023 3:30,0,11.8,11.6,0,0,9.8,9.6,0,6.13648,6.6,7.8,7.03611
1/1/2023 3:45,0,11.8,11.6,0,0,9.8,9.6,0,7.59704,6.8,8.2,7.025
1/1/2023 4:00,0,11.8,11.6,0,0,9.8,9.6,0,8.00787,7.6,8.7,7.04167
1/1/2023 4:15,0,11.8,11.6,0,0,9.8,9.7,0,6.005,6.6,7.7,7.03056
1/1/2023 4:30,0,11.7,11.6,0,0,9.8,9.7,0,7.21939,6.6,8,7.03611
1/1/2023 4:45,0,11.7,11.6,0,0,9.8,9.8,0,7.66749,6.9,8.3,7.03056
1/1/2023 5:00,0,11.7,11.6,0,0,10,9.8,0,7.72562,7.6,8.7,7.09167
1/1/2023 5:15,0,11.7,11.6,0,0,10,9.8,0,5.76903,6.6,7.6,7.3
1/1/2023 5:30,0,11.5,11.6,0,0,10,9.9,0,6.27221,6.6,7.8,7.04167
1/1/2023 5:45,0,11.5,11.6,0,0,9.8,9.9,0,6.85431,6.6,8,7.04167
1/1/2023 6:00,0,11.5,11.6,0,0,9.8,9.9,0,7.76453,6.8,8.2,7.03611
1/1/2023 6:15,0,11.5,11.6,0,0,9.8,9.9,0,7.85961,7.6,8.6,7.03611
1/1/2023 6:30,0,11.5,11.6,0,0,10,10,0,5.97437,6.6,7.6,7.33889
1/1/2023 6:45,0,11.5,11.6,0,0,10,10,0,6.13944,6.6,7.8,7.03056
1/1/2023 7:00,0,11.5,11.6,0,0,10,10,0,7.14281,6.6,8,7.03056
1/1/2023 7:15,0,11.5,11.6,0,0,10,10.1,0,7.82254,6.8,8.2,7.03611
1/1/2023 7:30,0,11.4,11.6,0,0,10,10.1,0,8.01035,7.6,8.7,7.03056
